time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2024-07-02 11:11:58,51.5367933697368,61.1510340084887,0,0,1020.1708302176,1020.1708302176,0.328084,0,0,0,21,5,0,1020.1708302176,0,0,0,0,0,0,167.6, 1.7, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,167.7,0,0,95,4.267,4.254,4.265,4.256,0,0,0,70.16,1020.1708302176,0,41,Motors_Started,"Несовместимая версия ПО. Перейдите в Профиль > Настройки для обновления (Code: 1F0B002A)"
300,2024-07-02 11:11:59,51.5367935007996,61.1510340729893,0,0,1020.1708302176,1020.1708302176,0.328084,0,0.050008531784,0.050008531784,21,5,0,1020.1708302176,0,0,0.050008531784,0,0,0,167.6, 1.7, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,167.7,0,0,95,4.267,4.254,4.265,4.256,0,0,0,70.16,1020.1708302176,0,41,Motors_Started,
500,2024-07-02 11:11:59,51.536793628033,61.1510341533221,0,0,1020.1708302176,1020.1708302176,0,0,0.099806761724,0.099880908708,21,5,0,1020.1708302176,0,0,0.099806761724,0,0,0,168.2, 1.7, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,167.7,0,0,95,4.267,4.254,4.265,4.256,0,0,0,70.16,1020.1708302176,0,41,Motors_Started,
700,2024-07-02 11:11:59,51.5367937531687,61.1510342239987,0,0,1020.1708302176,1020.1708302176,0,0,0.148197839388,0.148272314456,21,5,0,1020.1708302176,0,0,0.148197839388,0,0,0,168.6, 1.7, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,167.8,0,0,95,4.267,4.254,4.265,4.256,0,0,0,70.16,1020.1708302176,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 88. Setting new Maximum Flight Altitude to 120m (394 ft)"
900,2024-07-02 11:11:59,51.5367938702079,61.1510342961059,0,0,1020.1708302176,1020.1708302176,0,0,0.193912079696,0.194001974712,21,5,0,1020.1708302176,0,0,0.193912079696,0,0,0,168.6, 1.7, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,167.8,0,0,95,4.267,4.254,4.265,4.256,0,0,0,70.16,1020.1708302176,0,41,Motors_Started,
1100,2024-07-02 11:11:59,51.5367939974456,61.1510343791958,0,0,1020.1708302176,1020.1708302176,0,0,0.243982291272,0.244108275528,21,5,0,1020.1708302176,0,0,0.243982291272,0,0,0,168.5, 1.7, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,167.8,0,0,95,4.267,4.254,4.265,4.256,0,0,0,70.16,1020.1708302176,0,41,Motors_Started,
1300,2024-07-02 11:12:00,51.5367941245174,61.1510344541788,0,0,1020.1708302176,1020.1708302176,0,0,0.293368775792,0.293494431964,21,5,0,1020.1708302176,0,0,0.293368775792,0,0,0,168.6, 1.7, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,167.9,0,0,95,4.267,4.254,4.265,4.256,0,0,0,70.16,1020.1708302176,0,41,Motors_Started,
1500,2024-07-02 11:12:00,51.5367942208929,61.1510345238522,0,0.03280839999997,1020.1380218176,1020.1708302176,0,0,0.33183728096,0.33204725472,21,5,0,1020.1708302176,0,0,0.33183728096,0,0,0,168.6, 1.7, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,167.9,0,0,95,4.267,4.254,4.265,4.256,0,0,0,70.16,1020.1708302176,0,11,AutoTakeoff,
1700,2024-07-02 11:12:00,51.5367943259698,61.1510345886936,0,0.03280839999997,1020.1380218176,1020.1708302176,0,0,0.3729002744,0.373113529,21,5,17.089,1020.1708302176,0,0,0.3729002744,0,0,0,168.3, 1.6, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,167.9,0,0,95,4.267,4.254,4.265,4.256,0,0,1.671,70.16,1020.1708302176,0,11,AutoTakeoff,
1900,2024-07-02 11:12:00,51.5367944285068,61.1510346513026,0,0.03280839999997,1020.1380218176,1020.1708302176,0,0,0.41291996072,0.41312993448,21,5,17.089,1020.1708302176,0,0,0.41291996072,0,0,0,168.2, 1.5, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,167.9,0,0,95,4.267,4.254,4.265,4.256,0,0,1.671,70.16,1020.1708302176,0,11,AutoTakeoff,
2100,2024-07-02 11:12:00,51.5367945054039,61.1510347435403,0,0.03280839999997,1020.1380218176,1020.1708302176,0,0,0.44666668096,0.44813649728,21,5,17.089,1020.1708302176,0,0,0.44666668096,0,0,-0.223694,168.1, -1.5, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,167.9,0,0,95,4.267,4.254,4.265,4.256,0,0,1.671,70.16,1020.1708302176,0,11,AutoTakeoff,
2300,2024-07-02 11:12:01,51.5367944899455,61.1510348173596,0,0.03280839999997,1020.1380218176,1020.1708302176,0.328084,0,0.44803807208,0.46581038236,21,5,17.089,1020.1708302176,0,0,0.44803807208,0,0,-0.894776,168, 0.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,167.9,0,0,95,4.267,4.254,4.265,4.256,0,0,1.671,70.16,1020.1708302176,0,11,AutoTakeoff,
2500,2024-07-02 11:12:01,51.536794426347,61.1510348426755,0.328084,0.36089239999997,1020.1380218176,1020.4989142176,0.328084,0,0.4294783602,0.4897145826,21,5,17.089,1020.4989142176,0.328084,0,0.44803807208,0,0,-0.894776,167.9, 1.8, 0.3,0,0,1024,1024,1202,1024,0,0,27,0,167.9,0,0,95,4.267,4.254,4.265,4.256,0,0,1.671,70.16,1020.4989142176,0.328084,11,AutoTakeoff,
